  00.        GENERAL
  01.        Communication, education, history, and philosophy
  01.10.-m   Announcements, news, and organizational activities
  01.10.Cr   Announcements, news, and awards
  01.10.Fv   Conferences, lectures, and institutes
  01.10.Hx   Physics organizational activities
  01.20.+x   Communication forms and techniques (written, oral, electronic, etc.)
  01.30.-y   Physics literature and publications
  01.30.Bb   Publications of lectures (advanced institutes, summer schools, etc.)
  01.30.Cc   Conference proceedings
  01.30.Ee   Monographs and collections
  01.30.Kj   Handbooks, dictionaries, tables, and data compilations
  01.30.Mm   Textbooks for graduates and researchers
  01.30.Pp   Textbooks for undergraduates
  01.30.Rr   Surveys and tutorial papers; resource letters
  01.30.Tt   Bibliographies
  01.30.Vv   Book reviews
  01.30.Xx   Publications in electronic media
  01.40.-d   Education
  01.40.Di   Course design and evaluation
  01.40.Ej   Science in elementary and secondary school
  01.40.Fk   Physics education research (cognition, problem solving, etc.)
  01.40.Gm   Curricula; teaching methods, strategies, theory of testing and evaluation
  01.40.Jp   Teacher training
  01.50.-i   Educational aids
  01.50.Fr   Audio and visual aids, films
  01.50.Ht   Instructional computer use
  01.50.Kw   Techniques of testing
  01.50.Lc   Laboratory computer use
  01.50.My   Demonstration experiments and apparatus
  01.50.Pa   Laboratory experiments and apparatus
  01.50.Qb   Laboratory course design, organization, and evaluation
  01.50.Wg   Physics of toys
  01.52.+r   National and international laboratory facilities
  01.55.+b   General physics
  01.60.+q   Biographies, tributes, personal notes, and obituaries
  01.65.+g   History of science
  01.70.+w   Philosophy of science
  01.75.+m   Science and society
  01.78.+p   Science and government (funding, politics, etc.)
  01.80.+b   Physics of sports
  01.90.+g   Other topics of general interest (restricted to new topics in section 01)
  02.        Mathematical methods in physics
  02.10.-v   Logic, set theory, and algebra
  02.10.Ab   Logic and set theory
  02.10.De   Algebraic structures and number theory
  02.10.Hh   Rings and algebras
  02.10.Kn   Knot theory
  02.10.Ox   Combinatorics; graph theory
  02.10.Ud   Linear algebra
  02.10.Xm   Multilinear algebra
  02.10.Yn   Matrix theory
  02.20.-a   Group theory
  02.20.Bb   General structures of groups
  02.20.Hj   Classical groups
  02.20.Qs   General properties, structure, and representation of Lie groups
  02.20.Rt   Discrete subgroups of Lie groups
  02.20.Sv   Lie algebras of Lie groups
  02.20.Tw   Infinite-dimensional Lie groups
  02.20.Uw   Quantum groups
  02.30.-f   Function theory, analysis
  02.30.Cj   Measure and integration
  02.30.Em   Potential theory
  02.30.Fn   Several complex variables and analytic spaces
  02.30.Gp   Special functions
  02.30.Hq   Ordinary differential equations
  02.30.Ik   Integrable systems
  02.30.Jr   Partial differential equations
  02.30.Ks   Delay and functional equations
  02.30.Lt   Sequences, series, and summability
  02.30.Mv   Approximations and expansions
  02.30.Nw   Fourier analysis
  02.30.Oz   Bifurcation theory
  02.30.Px   Abstract harmonic analysis
  02.30.Rz   Integral equations
  02.30.Sa   Functional analysis
  02.30.Tb   Operator theory
  02.30.Uu   Integral transforms
  02.30.Vv   Operational calculus
  02.30.Xx   Calculus of variations
  02.30.Yy   Control theory
  02.30.Zz   Inverse problems
  02.40.-k   Geometry, differential geometry, and topology
  02.40.Dr   Euclidean and projective geometries
  02.40.Ft   Convex sets and geometric inequalities
  02.40.Gh   Noncommutative geometry
  02.40.Hw   Classical differential geometry
  02.40.Ky   Riemannian geometries
  02.40.Ma   Global differential geometry
  02.40.Pc   General topology
  02.40.Re   Algebraic topology
  02.40.Sf   Manifolds and cell complexes
  02.40.Tt   Complex manifolds
  02.40.Vh   Global analysis and analysis on manifolds
  02.40.Xx   Singularity theory
  02.40.Yy   Geometric mechanics
  02.50.-r   Probability theory, stochastic processes, and statistics
  02.50.Cw   Probability theory
  02.50.Ey   Stochastic processes
  02.50.Fz   Stochastic analysis
  02.50.Ga   Markov processes
  02.50.Le   Decision theory and game theory
  02.50.Ng   Distribution theory and Monte Carlo studies
  02.50.Sk   Multivariate analysis
  02.50.Tt   Inference methods
  02.60.-x   Numerical approximation and analysis
  02.60.Cb   Numerical simulation; solution of equations
  02.60.Dc   Numerical linear algebra
  02.60.Ed   Interpolation; curve fitting
  02.60.Gf   Algorithms for functional approximation
  02.60.Jh   Numerical differentiation and integration
  02.60.Lj   Ordinary and partial differential equations; boundary value problems
  02.60.Nm   Integral and integrodifferential equations
  02.60.Pn   Numerical optimization
  02.70.-c   Computational techniques
  02.70.Bf   Finite-difference methods
  02.70.Dh   Finite-element and Galerkin methods
  02.70.Hm   Spectral methods
  02.70.Jn   Collocation methods
